session_id,unit_id,channel,depth,n_spikes_unit,session_duration_sec,trough_to_peak,repolarization_time,firing_rate,fano_factor,cv_isi,burst_index
2023-09-20_230920_140130,76,46,875.0,42404,10332.142933333333,0.10244677470606937,0.0363520813473149,4.104085693897744,1.2916461349979318,1.8893410243812463,0.9126155661372428
2023-09-20_230920_140130,94,40,1175.0,324173,10332.142933333333,0.2379408960915158,0.07931363203050523,31.375195067633083,1.9515286255513433,1.656353791364453,0.3831811616469101
2023-09-20_230920_140130,109,34,1475.0,141934,10332.142933333333,0.3436924054655228,0.20489354941213853,13.737130904576983,3.4151267210532876,2.9552401853473955,4.538663272021875
2023-09-20_230920_140130,248,62,75.0,18510,10332.142933333333,0.7468700349539243,0.26768350810295516,1.791496703000831,2.1912439666885315,4.006595079624957,0.09087949957703804
2023-09-20_230920_140130,249,62,75.0,69247,10332.142933333333,0.7600889736256752,0.2742929774388306,6.702094661950219,1.7441739316552707,1.4922589368427412,2.024524835241198
2023-09-20_230920_140130,257,61,125.0,142624,10332.142933333333,0.17845567206863688,0.11566571337782013,13.803912791398732,2.766352480048516,2.1627077017689125,1.3083904836103504
2023-09-20_230920_140130,268,60,175.0,279904,10332.142933333333,0.6477279949157928,0.3602160788052113,27.090604708630178,2.6692618700164044,1.561329675251317,1.1547933513573545
2023-09-20_230920_140130,271,59,225.0,200293,10332.142933333333,0.6477279949157928,0.26768350810295516,19.385426749548646,1.4935262769360258,1.2907571468250671,0.7725963522682753
2023-09-20_230920_140130,272,58,275.0,270974,10332.142933333333,0.6543374642516683,0.2842071814426438,26.22631159367624,2.050856478531801,2.8639728788515417,0.9109379870141958
2023-09-20_230920_140130,274,57,325.0,74068,10332.142933333333,0.8493168096599937,0.3668255481410869,7.168696801613482,2.034524277062846,2.174357907242773,1.0875345127005651
2023-09-20_230920_140130,276,56,375.0,191677,10332.142933333333,0.7964410549729902,0.34038767079758514,18.551524232365765,2.3247468732976544,1.5147734375867943,1.8763441927680689
2023-09-20_230920_140130,277,56,375.0,25064,10332.142933333333,0.16193199872894828,0.09914204003813154,2.4258278424642263,2.357240657150436,2.335952778781151,4.474503001702619
2023-09-20_230920_140130,280,53,525.0,360411,10332.142933333333,0.8889736256752463,0.21150301874801394,34.882502335236765,2.1347298840291002,1.2276010235345058,1.2032757477662177
2023-09-20_230920_140130,281,51,625.0,42873,10332.142933333333,0.33708293612964735,0.13549412138544642,4.149478019867889,4.391595385482221,4.4814518955120395,25.048892080506267
2023-09-20_230920_140130,283,49,725.0,102334,10332.142933333333,0.9286304416904989,0.2577693040991422,9.904431313067912,2.384227836620472,1.8955250660311076,2.887587616218503
2023-09-20_230920_140130,287,13,2525.0,30968,10332.142933333333,0.29742612011439473,0.0925325707022561,2.9972485088346694,1.6756444502548047,3.408440965284818,0.48413126374709675
2023-09-20_230920_140130,289,30,1675.0,50987,10332.142933333333,0.7369558309501112,0.2742929774388306,4.934794294754369,1.5279553567931445,1.4662063695390934,2.5510333161459764
2023-09-20_230920_140130,290,47,825.0,163622,10332.142933333333,0.998029869717191,0.13549412138544642,15.836211428330738,2.963890336609681,1.6484585907993865,2.385670786506158
2023-09-20_230920_140130,291,47,825.0,52745,10332.142933333333,0.423006037496028,0.2842071814426438,5.1049429281349985,5.663074540504721,3.7693403993160834,10.44206373866615
2023-09-20_230920_140130,293,46,875.0,208781,10332.142933333333,0.6080711789005403,0.3602160788052113,20.20694074279938,3.786545315017455,3.762183674941086,2.5771414690379317
2023-09-20_230920_140130,294,46,875.0,56807,10332.142933333333,0.3139497934540833,0.13549412138544642,5.498084992294339,4.017601682905709,3.533967962151443,8.617512958349659
2023-09-20_230920_140130,296,43,1025.0,182830,10332.142933333333,0.8460120749920559,0.3271687321258343,17.695264300899076,2.2877215907801247,1.5312221651894278,1.6988013164704165
2023-09-20_230920_140130,297,42,1075.0,152870,10332.142933333333,0.7600889736256752,0.280902446774706,14.795575418030094,1.3125329601952733,1.1948359825231136,0.7571041386190532
2023-09-20_230920_140130,299,37,1325.0,212308,10332.142933333333,0.9418493803622497,0.22472195741976506,20.54830264833606,1.9049319759037513,1.3665896647265998,1.2306779875063507
2023-09-20_230920_140130,301,5,2925.0,5205,10332.142933333333,0.16193199872894828,0.05618048935494121,0.503767711459715,1.8107181203862377,9.09904370526429,20.08930775679679
2023-09-20_230920_140130,302,124,3000.0,19353,10332.142933333333,0.8493168096599937,0.22141722275182713,1.8730867473352286,1.2027075985561515,1.3685536729948524,1.9235692014444927
2023-09-20_230920_140130,305,3,3025.0,61467,10332.142933333333,0.20158881474420093,0.07931363203050523,5.949104691699194,1.801153240631661,2.314693548734616,1.260697175454061
2023-09-20_230920_140130,307,94,1500.0,92301,10332.142933333333,0.8460120749920559,0.33047346679377204,8.933383964542394,1.9712396176709293,1.5009959633429362,2.408760240902581
2023-09-20_230920_140130,308,93,1450.0,91304,10332.142933333333,0.2214172227518272,0.11236097870988242,8.836888977352126,2.3880151319852994,2.212474796314855,1.420632120793204
2023-09-20_230920_140130,310,16,2375.0,24351,10332.142933333333,0.19828408007626322,0.07931363203050523,2.356819892748419,1.254645970650892,1.2208207368751938,3.652973835749075
2023-09-20_230920_140130,311,116,2600.0,6997,10332.142933333333,0.763393708293613,0.2643787734350174,0.6772070465098224,1.0791991225648052,1.154683200896763,3.763429577913972
2023-09-20_230920_140130,312,32,1575.0,72414,10332.142933333333,0.8526215443279314,0.20489354941213853,7.008613843927725,1.540193260011586,1.4478737764192533,1.942552397280565
2023-09-20_230920_140130,314,100,1800.0,92243,10332.142933333333,0.8493168096599937,0.21150301874801394,8.927770414635638,1.6334534237568794,1.347662872161005,1.796113937230876
2023-09-20_230920_140130,315,10,2675.0,7335,10332.142933333333,0.7171274229424849,0.24455036542739114,0.7099204925181575,1.0800642338029036,1.258938061200777,2.4628043371235813
2023-09-20_230920_140130,319,101,1850.0,65533,10332.142933333333,0.6972990149348587,0.09914204003813154,6.342633897231413,1.9994188043459777,1.535101981102555,3.4762086482545205
2023-09-20_230920_140130,322,105,2050.0,28844,10332.142933333333,0.879059421671433,0.23133142675564025,2.7916764398355465,1.4379994112081926,1.3541351633801475,3.409991149285561
2023-09-20_230920_140130,324,20,2175.0,78301,10332.142933333333,0.19167461074038775,0.059485224022878924,7.578389159463429,1.1240066940136462,1.467577919100673,0.6570651763275491
2023-09-20_230920_140130,325,110,2300.0,21883,10332.142933333333,0.7832221163012394,0.3205592627899586,2.1179536656816413,1.1440050603018073,1.198014267402107,2.741833731703186
2023-09-21_230921_113113,79,81,850.0,59932,13332.8128,0.7964410549729902,0.2643787734350174,4.495075487747042,1.2863259648186103,8.209644884889038,1.5360962773316942
2023-09-21_230921_113113,86,82,900.0,108629,13332.8128,0.7931363203050524,0.2775977121067683,8.14749307812977,1.51032884840143,12.788587366927219,1.5291822138034685
2023-09-21_230921_113113,88,83,950.0,58155,13332.8128,0.7964410549729902,0.26107403876707974,4.361795284487907,1.2729250308779436,10.73896484884005,1.5065171546426221
2023-09-21_230921_113113,93,84,1000.0,52646,13332.8128,0.7931363203050524,0.26768350810295516,3.948604153506153,1.2626250544456303,11.822434014720479,1.5711562472965668
2023-09-21_230921_113113,112,89,1250.0,138522,13332.8128,0.7931363203050524,0.2643787734350174,10.389555608250946,1.6313485196314335,8.645563047444886,1.5170813767763867
2023-09-21_230921_113113,116,91,1350.0,94261,13332.8128,0.7898315856371148,0.2842071814426438,7.0698510069833125,1.4289453055350338,7.6942520116106365,1.507109563569349
2023-09-21_230921_113113,137,29,1725.0,22641,13332.8128,0.5948522402287894,0.386653956148713,1.6981412954361739,1.4012735569049102,1.448081896744056,4.200279856316694
2023-09-21_230921_113113,162,103,1950.0,25980,13332.8128,0.7666984429615507,0.23133142675564025,1.9485760724098669,1.4284678407921538,1.6320825195736952,4.335375916087462
2023-09-21_230921_113113,235,61,125.0,5871,13332.8128,0.20489354941213864,0.0727041626946298,0.44034219095913507,1.2114588403157993,2.726695457210544,10.766992324441723
2023-09-21_230921_113113,239,58,275.0,156938,13332.8128,0.19497934540832546,0.10244677470606926,11.770809532404146,1.2366991551675217,2.173987988242185,0.5986771552552402
2023-09-21_230921_113113,240,71,350.0,108907,13332.8128,0.7931363203050524,0.257769304099142,8.168343892145549,1.5304626506585248,10.481812511578562,1.5772196734020716
2023-09-21_230921_113113,242,118,2700.0,7370,13332.8128,0.7799173816333016,0.18836987607244993,0.5527715802024911,1.2038815406076218,1.4801278711112902,8.309262196014181
2023-09-21_230921_113113,243,2,3075.0,53419,13332.8128,0.40317762948840175,0.280902446774706,4.006581416938517,1.5503888538045874,1.923160287582171,0.901393868474325
2023-09-21_230921_113113,245,17,2325.0,29176,13332.8128,0.13218938671750885,0.07600889736256751,2.188285430663213,1.3239461303157363,2.7161564150699404,2.9829012455057238
2023-09-21_230921_113113,248,115,2550.0,4373,13332.8128,0.5948522402287894,0.2908166507785192,0.3279878046438933,1.0723921324792618,1.305467107018734,7.398166065507556
2023-09-21_230921_113113,252,114,2500.0,34462,13332.8128,0.7865268509691771,0.22472195741976483,2.584750908675475,1.294713680776353,1.3003198577753132,3.3989689509446936
2023-09-21_230921_113113,253,109,2250.0,35000,13332.8128,0.13879885605338427,0.08261836669844294,2.6251024840009753,1.3928609281514122,2.315211461958029,2.9361615467629023
2023-09-21_230921_113113,254,23,2025.0,20049,13332.8128,0.7865268509691771,0.20489354941213853,1.503733705763873,1.3403242754728892,1.5662076228217972,5.0010313816706224
2023-09-21_230921_113113,256,20,2175.0,33950,13332.8128,0.5188433428662218,0.30073085478233236,2.5463494094809462,1.5829494979504628,1.5155834346735342,5.336559500668403
2023-09-21_230921_113113,259,26,1875.0,164963,13332.8128,0.399872894820464,0.20489354941213853,12.372708030521512,3.4331995694096418,2.3464880561061285,3.0453076291867576
2023-09-21_230921_113113,260,28,1775.0,70727,13332.8128,0.399872894820464,0.26768350810295516,5.3047320967410565,2.704005334312373,1.7903993402406357,4.534226570050506
2023-09-21_230921_113113,266,102,1900.0,19144,13332.8128,0.8195741976485542,0.1850651414045122,1.4358560558204192,1.3884869686471542,1.6067974738752073,5.08248797714561
2023-09-21_230921_113113,268,102,1900.0,50101,13332.8128,0.2775977121067684,0.18176040673657448,3.757721701455225,3.8067587558994265,9.315468258706263,6.528536059188477
2023-09-21_230921_113113,272,73,450.0,106563,13332.8128,0.7898315856371148,0.2643787734350174,7.992537028645598,1.4959793351757718,13.878040910484195,1.4909443994205942
2023-09-21_230921_113113,273,52,575.0,122642,13332.8128,0.7006037496027964,0.3073403241182078,9.198509109795646,2.1772275099187137,1.8456657155906473,2.2970130865184153
2023-09-21_230921_113113,275,50,675.0,248630,13332.8128,0.28420718144264384,0.32386399745789635,18.647978017061785,2.646393747516783,1.6229453105898715,2.3010625272554273
2023-09-21_230921_113113,276,94,1500.0,77088,13332.8128,0.5419764855417859,0.3932634254845885,5.7818257224762055,1.9288996871207353,1.801078009383175,2.5562070557796726
2023-09-21_230921_113113,282,42,1075.0,346433,13332.8128,0.8757546870034953,0.2643787734350174,25.983489395426,5.070101051704675,1.7096577232307222,2.4668015574611055
2023-09-21_230921_113113,284,92,1400.0,122256,13332.8128,0.832793136320305,0.1850651414045122,9.169557979543521,2.666507527988595,1.8655078565822965,3.3326476865613683
2023-09-21_230921_113113,285,97,1650.0,191965,13332.8128,0.3436924054655228,0.1487130600571973,14.397937095464208,2.235244628978762,1.7542439121071365,1.6829681429746979
2023-09-21_230921_113113,286,48,775.0,424856,13332.8128,0.6179853829043533,0.3073403241182078,31.865444026934814,3.5085303997770105,1.6544601761733284,1.6804647118100273
2023-09-21_230921_113113,287,44,975.0,176018,13332.8128,0.7865268509691771,0.3337782014617095,13.201865400825248,2.337790353812109,1.5858428701550102,2.3866177294138597
2023-09-21_230921_113113,288,65,50.0,101214,13332.8128,0.7931363203050524,0.27098824277089284,7.591346366162135,1.504049569475814,6.834266371785025,1.6391142097427498
2023-09-23_230923_150303,8,66,100.0,42059,8144.273066666667,0.879059421671433,0.2676835081029554,5.164242364630603,1.2068408229497074,1.6716097388842661,1.360896179318971
2023-09-23_230923_150303,60,77,650.0,57473,8144.273066666667,0.8757546870034953,0.2676835081029554,7.0568606344044,1.2862115878754823,1.8196445115498796,1.320451192291703
2023-09-23_230923_150303,81,46,875.0,116113,8144.273066666667,0.7171274229424849,0.2742929774388306,14.257012142094515,5.311335248685382,3.5724813155443567,9.375481742138778
2023-09-23_230923_150303,82,82,900.0,35231,8144.273066666667,0.879059421671433,0.27759771210676853,4.325861830958909,1.1604395293706893,1.5513676465071455,1.2761686154131375
2023-09-23_230923_150303,87,83,950.0,35098,8144.273066666667,0.879059421671433,0.2709882427708931,4.30953133725968,1.1699043540227292,1.6275947564187843,1.408773521158595
2023-09-23_230923_150303,100,87,1150.0,25259,8144.273066666667,0.8691452176676199,0.19828408007626308,3.1014431605174733,1.1248661640508089,1.7517764291885451,1.3302116623807492
2023-09-23_230923_150303,114,90,1300.0,23901,8144.273066666667,0.7237368922783604,0.4891007308547825,2.934700224851662,1.4660771542447404,1.6569449653576276,12.431914527387908
2023-09-23_230923_150303,139,27,1825.0,150642,8144.273066666667,0.5684143628852876,0.3536066094693358,18.496678434881556,1.5359099229693287,2.0786382917978643,0.3541001335891179
2023-09-23_230923_150303,236,124,3000.0,30751,8144.273066666667,0.9782014617095646,0.34369240546552293,3.775782043195408,1.8446225641547405,3.78894295628587,1.9771129343476925
2023-09-23_230923_150303,251,65,50.0,63346,8144.273066666667,0.8757546870034953,0.27759771210676853,7.777980856175615,1.2617812516470686,1.479331180531325,1.3571146088941128
2023-09-23_230923_150303,256,3,3025.0,47649,8144.273066666667,1.2756275818239595,0.22141722275182713,5.8506142426658645,2.237234207936336,2.676250216948231,6.657394670143603
2023-09-23_230923_150303,257,125,3050.0,43762,8144.273066666667,0.9319351763584366,0.40317762948840186,5.373346355380881,1.224538410457372,1.182701039064054,1.661118489824641
2023-09-23_230923_150303,265,120,2800.0,65132,8144.273066666667,1.0641245630759453,0.1982840800762633,7.997276057279547,1.345722831348252,1.390438422615123,1.6279074097313373
2023-09-23_230923_150303,266,119,2750.0,105287,8144.273066666667,0.9088020336828726,0.3998728948204641,12.92773451211066,2.0202148198668843,1.3705384243628296,2.855577770924636
2023-09-23_230923_150303,268,6,2875.0,49856,8144.273066666667,0.879059421671433,0.2974261201143949,6.121602209539536,1.9027572651543856,1.4502665865103013,4.835493708628895
2023-09-23_230923_150303,271,119,2750.0,33868,8144.273066666667,0.13879885605338427,0.07600889736256751,4.1585049669585405,1.4046843339255186,1.514880547652264,1.56404684836932
2023-09-23_230923_150303,273,57,325.0,84426,8144.273066666667,0.17515093740069917,0.11236097870988242,10.366302714669947,1.7516483964417153,2.3071389936647297,0.42655417381201494
2023-09-23_230923_150303,277,4,2975.0,2940,8144.273066666667,0.7171274229424849,0.2511598347632666,0.3609898607197977,2.271383683258918,3.2744017919819735,57.170226791748576
2023-09-23_230923_150303,284,13,2525.0,10975,8144.273066666667,0.11897044804575797,0.04626628535112805,1.3475726943536668,1.079364528407348,1.1486634899552215,1.6283822900511167
2023-09-23_230923_150303,285,12,2575.0,40208,8144.273066666667,0.892278360343184,0.2676835081029554,4.936966095177424,1.3919436090552162,1.275811682290747,2.0706821295733127
2023-09-23_230923_150303,286,14,2475.0,58512,8144.273066666667,0.8162694629806165,0.28751191611058147,7.184434942325444,1.3226014684236513,1.3667815934627856,1.399343875034739
2023-09-23_230923_150303,289,19,2225.0,5949,8144.273066666667,0.7105179536066095,0.3073403241182078,0.7304519324564887,1.7435619846699286,1.8490234007963877,17.29384243987319
2023-09-23_230923_150303,290,21,2125.0,38168,8144.273066666667,0.832793136320305,0.34038767079758514,4.686483334677972,1.2577988110754768,1.4538794075780033,1.3462329125406456
2023-09-23_230923_150303,291,108,2200.0,366086,8144.273066666667,0.6543374642516683,0.41639656816015247,44.95011365696186,0.9853488181594795,0.7686012991979949,0.20602606782419708
2023-09-23_230923_150303,296,21,2125.0,332292,8144.273066666667,0.7733079122974261,0.3932634254845887,40.800694829354775,2.742934509791562,1.46660223121614,1.125973947531233
